Global epoch, User, Avg loss
0, 0, 0.366517573595047
0, 1, 8.545833885669708
0, 2, 8.351074039936066
0, 3, 8.227417647838593
0, 4, 7.146891891956329
1, 0, 0.2745997877791524
1, 1, 5.857849895954132
1, 2, 6.181889295578003
1, 3, 5.7566187381744385
1, 4, 5.747031509876251
2, 0, 0.2500630971044302
2, 1, 4.8416584730148315
2, 2, 5.118933975696564
2, 3, 4.72091868519783
2, 4, 4.727066189050674
3, 0, 0.2752988366410136
3, 1, 4.325322180986404
3, 2, 3.9586315155029297
3, 3, 3.7733579874038696
3, 4, 4.426376432180405
4, 0, 0.29772433266043663
4, 1, 4.280582994222641
4, 2, 3.7456085681915283
4, 3, 3.483418822288513
4, 4, 3.82090961933136
5, 0, 0.2738993475213647
5, 1, 4.098456859588623
5, 2, 3.5535812079906464
5, 3, 3.1586533784866333
5, 4, 3.672913283109665
6, 0, 0.3150142515078187
6, 1, 3.807835966348648
6, 2, 2.7629571557044983
6, 3, 3.2790699899196625
6, 4, 3.1854129135608673
7, 0, 0.26108984742313623
7, 1, 3.8013119399547577
7, 2, 2.4405308216810226
7, 3, 3.199710935354233
7, 4, 3.0213066041469574
8, 0, 0.32506274431943893
8, 1, 3.2959119081497192
8, 2, 2.8308683037757874
8, 3, 3.0312308371067047
8, 4, 3.3166133761405945
9, 0, 0.3638518899679184
9, 1, 2.9182412028312683
9, 2, 2.4110710322856903
9, 3, 2.8948679864406586
9, 4, 2.549942582845688
10, 0, 0.3555399011820555
10, 1, 3.9025385677814484
10, 2, 2.2216075360774994
10, 3, 2.755618095397949
10, 4, 3.3099070489406586
11, 0, 0.3611506540328264
11, 1, 2.913880318403244
11, 2, 2.5301923900842667
11, 3, 2.7063583731651306
11, 4, 2.4962630420923233
12, 0, 0.33662064746022224
12, 1, 3.077621251344681
12, 2, 2.3039748519659042
12, 3, 2.674212783575058
12, 4, 2.6823761016130447
13, 0, 0.36507720965892076
13, 1, 2.338608428835869
13, 2, 1.9888087064027786
13, 3, 2.3379311710596085
13, 4, 2.5861228853464127
14, 0, 0.2769551919773221
14, 1, 2.72797754406929
14, 2, 1.8482793271541595
14, 3, 2.356966644525528
14, 4, 2.2515479177236557
15, 0, 0.3443547897040844
15, 1, 2.50424861907959
15, 2, 2.2350299656391144
15, 3, 2.557256057858467
15, 4, 2.6190110743045807
16, 0, 0.32393206283450127
16, 1, 2.4292458444833755
16, 2, 1.884430706501007
16, 3, 2.2984095215797424
16, 4, 2.0803042203187943
17, 0, 0.3772058682516217
17, 1, 2.4662499874830246
17, 2, 1.7514303624629974
17, 3, 2.1135008186101913
17, 4, 2.2950496524572372
18, 0, 0.3325131880119443
18, 1, 1.8009093403816223
18, 2, 1.6594549268484116
18, 3, 1.8908905982971191
18, 4, 2.219803214073181
19, 0, 0.3905741940252483
19, 1, 2.1502991169691086
19, 2, 1.5494029074907303
19, 3, 2.145098552107811
19, 4, 2.054380923509598
20, 0, 0.3070696275681257
20, 1, 2.009017065167427
20, 2, 1.645166054368019
20, 3, 2.5078466832637787
20, 4, 2.0216461569070816
21, 0, 0.3338231584057212
21, 1, 2.04977710545063
21, 2, 1.7330669611692429
21, 3, 2.043571099638939
21, 4, 1.7413513362407684
22, 0, 0.44317344576120377
22, 1, 2.2363388389348984
22, 2, 1.415084332227707
22, 3, 1.8583961948752403
22, 4, 1.846854642033577
23, 0, 0.42173699755221605
23, 1, 1.961806058883667
23, 2, 1.8141817450523376
23, 3, 1.8844840079545975
23, 4, 1.9605136215686798
24, 0, 0.4188699387013912
24, 1, 1.5891202539205551
24, 2, 1.398200586438179
24, 3, 1.689045488834381
24, 4, 2.0419293493032455
25, 0, 0.3767525292932987
25, 1, 1.7235939651727676
25, 2, 1.4408381283283234
25, 3, 2.0182878971099854
25, 4, 1.716024562716484
26, 0, 0.40168013609945774
26, 1, 1.7904184311628342
26, 2, 1.5698756724596024
26, 3, 1.4933734238147736
